,Train Accuracy Score,Test Accuracy Score,Train F1 Macro Score,Test F1 Macro Score,Train Precision Macro Score,Test Precision Macro Score,Train Recall Macro Score,Test Recall Macro Score
custom_preliminary_100k.csv,0.8994902548725637,0.769914467476334,0.8663189896548076,0.6334942104907483,0.8745665432218509,0.7041563558246877,0.8603359593615195,0.6184103016659258
meta_prod2vec_all.csv,0.9354263182356557,0.6709889507807506,0.9344559185060394,0.5526127233166571,0.9296211113119832,0.5578415536388869,0.9408337690050854,0.5507667218273635
minilm_100k.csv,0.9826239486664368,0.9088667701579765,0.974822500008509,0.8467448097930487,0.9838442784173554,0.9036129992878746,0.9669463571712856,0.8188958363147071
mpnet_100k.csv,0.9788159098064497,0.9165981797704928,0.9744969660692432,0.8486512418805446,0.9806270683187247,0.8658101042805414,0.9690334109535409,0.8353495044525073
nlp_model_batch3_epoch10_sample1500_100k.csv,0.9357721139430285,0.5089946123641677,0.9065571348337275,0.350462948022648,0.9122912629349851,0.350968201834095,0.902126930160775,0.3503023879410392
onehot_all.csv,0.9006439742410304,0.8360329465078539,0.8792121293963387,0.6878144029900748,0.8806413848036713,0.6912866391673608,0.8792932175085594,0.685973246128724
prod2vec_all.csv,0.9749179172726046,0.8569384835479256,0.9747236418665727,0.717991390239226,0.9766567489454606,0.7236449785811384,0.9735217158945302,0.7141479610087522
roberta_100k.csv,0.9833435780573004,0.9140717742671902,0.9825882392218007,0.8629443326283027,0.9851476135093802,0.8884902870279648,0.9806190555179116,0.8447238920664101
t5_100k.csv,0.980525029609751,0.9124585273795391,0.9792652318042551,0.8354553250379112,0.9829545309805295,0.9122374270151231,0.9764036963708159,0.8036937039020731
TFIDF_all.csv,0.9663478834392613,0.8559298822240482,0.9578690333054714,0.7569014082059256,0.9745295122241355,0.8538088381682968,0.943843054651297,0.7270356726017209
